--- Full Message Log ---
Total messages recorded: 70

[ A:38:2C.210][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 40003E9 | lParam: 0x  120D48
[ A:38:2C.213][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 60203E9 | lParam: 0x  120D48
[ A:38:2C.214][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 30003E9 | lParam: 0x  120D48
[ A:38:2D.3AD][TID: 67BC] HWND: 0x   30D6C | Msg: WM_NCLBUTTONDOWN    (0x  A1) | wParam: 0x       C | lParam: 0x  790A7F
[ A:38:2E.218][TID: 67BC] HWND: 0x   30D6C | Msg: WM_NCLBUTTONDOWN    (0x  A1) | wParam: 0x       2 | lParam: 0x 13D0A84
[ A:38:30. 20][TID: 67BC] HWND: 0x   D0E10 | Msg: WM_LBUTTONDOWN      (0x 201) | wParam: 0x       1 | lParam: 0x   D004F
[ A:38:30. 8C][TID: 67BC] HWND: 0x   D0E10 | Msg: WM_LBUTTONUP        (0x 202) | wParam: 0x       0 | lParam: 0x   D004F
[ A:38:32.34E][TID: 69D0] HWND: 0x  190D5A | Msg: WM_LBUTTONDOWN      (0x 201) | wParam: 0x       1 | lParam: 0x   50050
[ A:38:32.3B0][TID: 69D0] HWND: 0x  190D5A | Msg: WM_LBUTTONUP        (0x 202) | wParam: 0x       0 | lParam: 0x   50050
[ A:38:32.3B0][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x     3FE | lParam: 0x  190D5A
[ A:38:32.3B0][TID: 67BC] HWND: 0x   40B04 | Msg: WM_LBUTTONDOWN      (0x 201) | wParam: 0x       1 | lParam: 0x  3F0124
[ A:38:32.3B0][TID: 67BC] HWND: 0x   40B04 | Msg: WM_LBUTTONUP        (0x 202) | wParam: 0x       0 | lParam: 0x  3F0124
[ A:38:32.3B0][TID: 67BC] HWND: 0x   40B04 | Msg: WM_LBUTTONDBLCLK    (0x 203) | wParam: 0x       1 | lParam: 0x  3F0124
[ A:38:32.3B2][TID: 67BC] HWND: 0x   40B04 | Msg: WM_LBUTTONUP        (0x 202) | wParam: 0x       0 | lParam: 0x  3F0124
[ A:38:32.3B3][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 40003E9 | lParam: 0x  120D48
[ A:38:32.3B7][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 60203E9 | lParam: 0x  120D48
[ A:38:32.3B7][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 30003E9 | lParam: 0x  120D48
[ A:38:32.3BC][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 40003E9 | lParam: 0x  120D48
[ A:38:32.3C0][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 60203E9 | lParam: 0x  120D48
[ A:38:32.3C0][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 30003E9 | lParam: 0x  120D48
[ A:38:32.3C0][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 40003E9 | lParam: 0x  120D48
[ A:38:32.3C6][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 60203E9 | lParam: 0x  120D48
[ A:38:32.3C7][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 30003E9 | lParam: 0x  120D48
[ A:38:32.3D3][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 40003E9 | lParam: 0x  120D48
[ A:38:32.3D7][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 60203E9 | lParam: 0x  120D48
[ A:38:32.3D7][TID: 69D0] HWND: 0x  3A0CC2 | Msg: WM_COMMAND          (0x 111) | wParam: 0x 30003E9 | lParam: 0x  120D48
